Year,Month,Day,Time_UTC,Latitude,Longitude,Magnitude,Depth
2009,1,4,11:45:36,-0.41,132.97,4.6,38
2009,1,5,9:07:12,-0.37,132.22,4.6,35
2009,1,5,14:09:36,-0.41,132.26,4.1,35
2009,1,5,3:07:12,36.88,141.88,4.5,38
2009,1,5,14:38:24,-0.47,132.45,4.5,35
2009,1,5,9:36:00,-0.69,133.18,4.3,35
2009,1,5,4:48:00,-0.74,132.94,4.2,35
2009,1,5,7:55:12,23.01,88.71,4.2,35
2009,1,5,12:43:12,20.05,147.01,4.9,35
2009,1,5,16:48:00,30.38,140.19,4.4,35
2009,1,5,5:16:48,8.1,121.44,4.5,35
2009,1,5,2:38:24,-0.39,132.32,4.9,35
2009,1,5,3:36:00,-0.42,132.73,4.3,35
2009,1,5,14:24:00,-0.38,132.87,4.9,35
2009,1,5,15:21:36,-35.78,178.56,4.1,227
2009,1,5,11:16:48,23.81,-108.76,5.5,10
2009,1,5,16:04:48,-0.7,133.32,4.7,35
2009,1,5,1:26:24,33.65,141.22,4.5,37
2009,1,5,1:40:48,-0.4,131.98,4.6,26
2009,1,5,8:52:48,19.96,147.36,4.5,35
2009,1,5,6:43:12,12.41,143.53,4.5,65
2009,1,5,3:50:24,13.1,-87.86,4.6,145
2009,1,5,5:02:24,-0.76,133.48,5,29
2009,1,5,7:55:12,-3.53,100.72,5.2,27
2009,1,5,7:12:00,-0.7,133.34,4.6,35
2009,1,5,14:38:24,42.42,-30.54,5.1,10
2009,1,5,18:00:00,-0.65,133.28,5.2,17
2009,1,5,6:43:12,-0.49,131.87,4.6,34
2009,1,5,8:09:36,-0.78,133.12,4.6,35
2009,1,5,12:43:12,-0.75,133.21,4.9,24
2009,1,5,11:31:12,-0.36,133.01,5,31
2009,1,5,3:21:36,-0.37,133.15,4.5,26
2009,1,5,8:09:36,34.08,141.44,4.5,8
2009,1,5,0:14:24,33.16,100.79,4.1,10
2009,1,5,21:21:36,-27.48,-176.71,5.4,47
2009,1,5,0:28:48,37.64,142.84,4.9,28
2009,1,6,18:57:36,60.44,149.08,4.2,14
2009,1,6,16:48:00,-8.53,124.16,4,35
2009,1,6,9:21:36,-0.49,131.93,4.9,35
2009,1,6,18:00:00,-30.24,-177.39,4.6,6
2009,1,6,6:43:12,-1.06,133.45,4.9,35
2009,1,6,13:55:12,24.17,124.04,4.3,39
2009,1,6,17:16:48,27.06,100.46,4.2,10
2009,1,6,11:45:36,11.23,-60.34,4.3,47
2009,1,6,11:16:48,26.34,128.79,4.2,23
2009,1,6,4:33:36,-1,133.54,4.5,35
2009,1,6,1:55:12,-0.7,134.01,4.5,35
2009,1,6,6:57:36,-0.65,132.9,4.7,35
2009,1,6,6:00:00,-16.6,-172.43,4.2,10
2009,1,6,6:14:24,-15.32,-174.9,4.6,245
2009,1,6,0:57:36,-7.77,107.92,4.1,44
2009,1,6,15:21:36,-0.42,132.74,5.1,35
2009,1,6,21:50:24,-58.6,-26.39,4.5,145
2009,1,6,18:43:12,21.96,144.84,4.2,35
2009,1,6,18:57:36,32.12,104.84,4.5,54
2009,1,6,20:52:48,-6.79,129.6,5,121
2009,1,6,15:21:36,-0.57,132.78,5.3,18
2009,1,6,3:36:00,-0.75,133.25,5,25
2009,1,6,7:55:12,-0.28,133.01,4.3,10
2009,1,6,14:38:24,-11.59,166.15,4.3,56
2009,1,6,2:52:48,36.97,141.73,4.1,43
2009,1,6,12:28:48,-0.39,132.49,4.6,35
2009,1,6,6:00:00,-0.66,133.43,6,16
2009,1,7,20:38:24,-16.18,-173.17,4.6,81
2009,1,7,2:24:00,31.97,49.74,4,2
2009,1,7,18:28:48,2.42,95.98,4.2,35
2009,1,7,15:21:36,2.56,96.12,4.5,45
2009,1,7,12:00:00,-0.72,133.27,4.5,35
2009,1,7,18:57:36,31.95,104.21,4.1,10
2009,1,7,12:57:36,6.7,-72.86,4,174
2009,1,7,1:40:48,6.67,-81.95,4.2,35
2009,1,7,15:36:00,1.79,127.32,5,96
2009,1,7,6:43:12,-23.01,179.13,4.7,571
2009,1,7,7:40:48,36.22,71.52,4,101
2009,1,7,2:09:36,-9.11,123.85,5,54
2009,1,7,16:48:00,13.41,-92.96,4.8,16
2009,1,7,18:00:00,32.11,104.5,4.3,42
2009,1,7,23:16:48,12.64,-88.59,4.5,56
2009,1,7,20:38:24,-32.32,-179.89,5.4,246
2009,1,7,13:55:12,-33.72,-177.97,4.9,45
2009,1,7,5:16:48,13.16,145.45,4.7,40
2009,1,7,12:43:12,48.78,155.07,4.2,45
2009,1,7,17:02:24,27.69,92.76,4.7,19
2009,1,7,19:12:00,-9.9,-74.52,4.7,34
2009,1,7,5:16:48,54.14,-165.32,4.5,85
2009,1,7,11:16:48,-11.04,66.72,4.5,10
2009,1,7,12:14:24,-0.41,132.85,5.2,35
2009,1,7,6:00:00,-2.5,-78.02,4.5,113
2009,1,7,2:38:24,10.17,-84.19,4.5,6
2009,1,7,6:14:24,-20.71,-179.22,5.6,656
2009,1,7,15:07:12,-3.43,150.18,5.1,46
2009,1,7,4:48:00,-0.32,132.55,4.8,35
2009,1,7,8:09:36,-57.2,-143.04,5.2,10
2009,1,7,6:28:48,-14.42,167.19,4.5,165
2009,1,7,21:21:36,-0.48,131.96,4.6,54
2009,1,7,4:48:00,12.52,-86.59,4.2,179
2009,1,7,15:07:12,13.13,124.42,4.2,35
2009,1,7,7:55:12,-19.36,169.18,4.1,161
2009,1,7,5:31:12,51.63,-174.72,4.1,53
2009,1,7,12:57:36,-53.06,9.54,5,10
2009,1,7,13:40:48,-15.91,-69.32,4.4,237
2009,1,7,12:57:36,-0.64,132.94,5.2,41
2009,1,8,6:00:00,9.53,124.76,4.8,80
2009,1,8,3:07:12,-30.32,-177.51,4.2,35
2009,1,8,7:26:24,13.78,120.75,4,203
2009,1,8,22:48:00,7.73,91.93,4.5,35
2009,1,8,2:24:00,31.93,56.14,4.3,14
2009,1,8,12:57:36,1.88,96.72,5,10
2009,1,8,17:02:24,41.8,20.83,4.9,17
2009,1,8,10:33:36,12.65,-87.92,4.6,66
2009,1,8,19:55:12,12.5,-86.93,4.3,142
2009,1,8,0:00:00,37.8,27.51,4.1,13
2009,1,8,22:33:36,7.98,92.16,4.3,35
2009,1,8,2:52:48,-0.41,132.93,5.5,18
2009,1,8,10:48:00,-37.32,176.5,4.6,300
2009,1,8,12:57:36,-19.13,169.5,4.5,281
2009,1,8,0:00:00,19.82,120.6,4.8,12
2009,1,8,17:31:12,-0.38,132.95,4.5,35
2009,1,8,14:52:48,-21.05,-174.18,4.9,35
2009,1,8,14:38:24,10.16,-84.2,6.1,14
2009,1,8,1:26:24,8.94,-82.8,4.4,28
2009,1,8,21:21:36,-4.77,153.07,5.3,54
2009,1,8,17:31:12,-53.26,9.29,4.8,10
2009,1,9,6:28:48,-0.73,133.79,4.5,35
2009,1,9,22:48:00,5.44,126.01,4.5,67
2009,1,9,19:12:00,10.44,56.96,5.7,10
2009,1,9,6:28:48,34.11,-117.3,4.5,14
2009,1,9,14:09:36,-31.07,-178.5,4.5,59
2009,1,9,9:36:00,15.46,-94.75,4.2,16
