WKT,osm_id,access,addr_house,addr_hou_1,addr_inter,admin_leve,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,constructi,covered,culvert,cutting,denominati,disused,embankment,foot,generator_,harbour,highway,historic,horse,intermitte,junction,landuse,layer,leisure,lock,man_made,military,motorcar,name,natural,oneway,operator,population,power,power_sour,place,railway,ref,religion,route,service,shop,sport,surface,toll,tourism,tower_type,tracktype,tunnel,water,waterway,wetland,width,wood,z_order,way_area
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",     -62549,,,,,4,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Bayern,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",   -1021710,,,,,8,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Trogen,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",     -62678,,,,,6,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Hof,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",   51894058,,,,,4,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",     -51473,,,,,5,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Direktionsbezirk Chemnitz,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",     -17592,,,,,5,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Regierungsbezirk Oberfranken,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",     -62943,,,,,6,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Vogtlandkreis,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.981653621439252 50.547570813892364,11.981678684435678 50.54758706938069,11.982029476554125 50.547814760100344,11.982357631127414 50.548013544985672,11.982998219756521 50.548415118791603,11.983682646171491 50.548844276962605,11.98528083889347 50.549796446898903,11.985948646475682 50.550108147283211,11.987359181134806 50.550696800914487,11.990065355928216 50.552050475910342,11.990537151115436 50.552300179234784,11.990886595760958 50.552544444230207,11.99115186826436 50.552781325117941,11.991253916880636 50.552952045730834,11.991309253102138 50.553153555919231,11.99130512085183 50.553415042856173,11.991097879515783 50.553903331039116,11.990967444136528 50.554190967712891,11.990919743594946 50.554444322310658,11.990980559539681 50.554756621316777,11.991081620009142 50.555031261879229,11.99146636844533 50.555604116053608,11.991863244137855 50.556106516565798,11.992241434872467 50.556514888274599,11.992493142815078 50.556674550573518,11.992755540709569 50.556808002658528,11.993262819350512 50.55696960964913,11.993646849134473 50.557023116090193,11.99417829245656 50.557040913406261,11.995356792277795 50.556962513603168,11.995892996670886 50.55694814982941,11.996371529222737 50.556984373999398,11.996894258886565 50.557058767941612)",   38310478,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,B 173,,,,,,,,,,,,,,,,,          7,               0.0000000000000000
"LINESTRING (11.987404995214298 50.58139384152441,11.986201342565106 50.580815468423559,11.985451428965924 50.580474229520114,11.98480949286389 50.580186811317581,11.983969927399352 50.579861697736575)",   25460990,,,,,,,,,,,,,,,,,,,,,,,,,,motorway,,,,,,,,,,,,,,yes,,,,,,,A 72,,,,,,,,,,,,,,,,,          9,               0.0000000000000000
"LINESTRING (11.98404987745964 50.579773612387712,11.984870937629326 50.580100785705703,11.985568209952859 50.580397928023963,11.986317584562871 50.580749348575431,11.987512523553807 50.581323833134988)",   35307208,,,,,,,,,,,,,,,,,,,,,,,,,,motorway,,,,,,,,,,,,,,yes,,,,,,,A 72,,,,,,,,,,,,,,,,,          9,               0.0000000000000000
"LINESTRING (11.989017471149293 50.69158326208197,11.988974172352599 50.690815148223713,11.988977136793036 50.690498963070894,11.988929346419919 50.690117152805371,11.988645568621665 50.689213372460166,11.988600742688988 50.688938890938125,11.988627692147512 50.688661497472687,11.988624637875548 50.688321444274429,11.988445423976364 50.687322156305008,11.988379757129097 50.686886676679428,11.988370863807782 50.68588439041482,11.988409671028055 50.684831404529909,11.988406616756093 50.684607689764917,11.988457461401172 50.684076762396245,11.988526182520406 50.683700835001353,11.988606761401392 50.683420499743072,11.988603796960954 50.683095361240255,11.988487285468606 50.682779180850375,11.988218419704069 50.682439084787234,11.987922784144063 50.682155659996013,11.987692725599802 50.681946942733433,11.987403018920674 50.681747128039888,11.986483144069734 50.681475570452768,11.986118787390494 50.681326435695937,11.986079980170222 50.681210118245239,11.986622023612657 50.68058520662597,11.987697217176223 50.679535183306051,11.988485758332621 50.678878970948112,11.989483337455637 50.678103341958227,11.990295863630122 50.677393512273085,11.991072367361715 50.676570139696913,11.991842942212434 50.67559172016886)",   24389982,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,S 313,,,,,,,,,,,,,,,,,          6,               0.0000000000000000
"LINESTRING (11.989560772233128 50.573253292347694,11.986588067294917 50.570706456147782,11.987657331977607 50.569739378418767,11.989817331078273 50.570433966968615,11.992512097267575 50.569398916997862,11.999590911537965 50.571537300942808,12.000596036509366 50.569916444841049,12.003910909739295 50.568431869495996,12.005365282184284 50.565476023420516,12.009407251805181 50.563718893611536,12.014967643750824 50.565081061166872,12.015455608613156 50.563618819338487,12.017925256992259 50.562287794021564,12.019539529557822 50.557688479320568,12.018490566800555 50.554487644836911,12.019981231183023 50.554012754510154,12.022245075530533 50.550688616476151,12.03284591453537 50.551796707749709,12.036766072603738 50.553133410662447,12.038698528442938 50.55137461625835,12.034033038183333 50.548542756268013,12.031824440225799 50.549545356595623,12.026109987208928 50.546889337541067,12.034171019410975 50.542403572568738,12.039029737288191 50.542315703021181,12.040327263884574 50.541119401430485,12.044882351195758 50.542385998672394,12.044136929172996 50.540310114554032,12.045517370270105 50.537600788165378,12.046649157696566 50.538163779443465,12.048057177072895 50.536334004460905,12.050403666426542 50.537671205381912,12.052308543986518 50.536474785340012,12.054875929068531 50.537583212469627,12.057112015473763 50.540538871034876,12.058685684188482 50.539923126576085,12.060921770593712 50.541207387709925,12.062688577094519 50.544004429591787,12.066498242382941 50.540521239193652,12.068347963384472 50.534592214052083,12.076767872542524 50.538568471765885,12.082261519662557 50.535911716540802,12.083365818641324 50.537547946558661,12.083255415692909 50.539166601655751,12.091344116005706 50.541717556039643,12.094436027382116 50.545306151794172,12.093414642904071 50.548226123110041,12.09479499416965 50.549844409744409,12.092669220881309 50.550354426896469,12.089825783512484 50.556686053105246,12.094353292544447 50.558092945963061,12.093341969197585 50.561523275630933,12.09130593760613 50.563369634042324,12.092479227198718 50.564182871540197,12.09089181426015 50.56484223984377,12.092341156139549 50.567194010418952,12.090270629241182 50.568138999430964,12.0892699958462 50.570402730442474,12.097655409697344 50.572380602211879,12.104004971620085 50.575039582019429,12.113322118083916 50.572907993887227,12.112942579876377 50.574402323871226,12.10776639737775 50.575149470990873,12.105695870479382 50.576687603517314,12.108559969099741 50.579368360450665,12.11163121922462 50.578049908932165,12.115944749555903 50.577852166604181,12.116600340050253 50.576292106525905,12.118498390414072 50.576050424988154,12.117290515683043 50.574380357188062,12.119947642461938 50.572138786081013,12.122363212260938 50.572534375340787,12.126124638018602 50.574951716420088,12.132646317149781 50.575619056096428,12.135102131473506 50.572834025546115,12.137238684545258 50.572985222889073,12.134898752893184 50.571408639099978,12.134525682555688 50.569788808337087,12.13703943821524 50.566738243937586,12.135872616492696 50.566145500582429,12.145203686843431 50.563806265315009,12.14710272535406 50.562250944532607,12.144694970898033 50.561602869437621,12.144790731307321 50.560949120472316,12.144371128238109 50.554995036200133,12.146352362597236 50.550734575226741,12.151846638537966 50.549341026361844,12.155865251961474 50.550079816173394,12.156598456896374 50.54728462479472,12.154754395281135 50.546384720416363,12.157279469713265 50.54296982631702,12.153910158577119 50.540397644380285,12.153186655447287 50.539295924487377,12.152321667660209 50.537638630276184,12.150760395696409 50.534926458700575,12.151069146659562 50.533640594245512,12.147342845029504 50.531895440207329,12.144831245326635 50.527145177752168,12.146004714582281 50.526725212177823,12.143410739367859 50.526528341284269,12.135670046396129 50.523417980801433,12.130790846930433 50.526082143345889,12.120900485483805 50.529859745940385,12.116653879641186 50.5241510514618,12.114835330180016 50.52419211132657,12.114820687640883 50.525125655212086,12.112267855266474 50.525125655212086,12.107755168436698 50.524485255956201,12.106178714944596 50.523168925441915,12.104168465001795 50.522932295855824,12.103859714038643 50.524294903996477,12.097180111080515 50.523282257534142,12.093282590557306 50.518729459455244,12.092763543986141 50.518123222541725,12.089534909023488 50.519776910718882,12.090102823946108 50.520196308486021,12.091413645608695 50.520756587817118,12.091257698075372 50.521373671951203,12.090623756979369 50.521144993830255,12.090171814559929 50.520943231567806,12.089468972681633 50.520454943831901,12.088746008540975 50.520744503768405,12.088606590008879 50.521025929574186,12.088636054750198 50.521205928955588,12.088385155291341 50.521346755225473,12.088092124845662 50.521434606779678,12.08788919542298 50.521464558738742,12.058595493333957 50.519643811422597,12.058009522274126 50.519704691225002,12.057016614390589 50.520683396232727,12.056156836832157 50.520181131655512,12.056067813787502 50.520108225529633)",    -444884,,,,,8,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Triebel,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
